Title,Location,Price,Area,Carpet Area,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Ownership,Car Parking,Bathroom,Balcony
4 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,N/A,竄ｹ2.55 Cr,1700 sqft,1700 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Chattarpur New Delhi,N/A,竄ｹ1.60 Cr,1800 sqft,1800 sqft,Ready to Move,Ground out of 5,New Property,Semi-Furnished,East,Main Road,Freehold,2 Covered,4,Yes
3 BHK Apartment for Sale in Sector 9 Rohini New Delhi,N/A,竄ｹ2.60 Cr,1250 sqft,N/A,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - West,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
2 BHK Apartment for Sale in Sector 13 Rohini New Delhi,N/A,竄ｹ2 Cr,1050 sqft,1050 sqft,Ready to Move,3 out of 7,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
3 BHK Builder Floor for Sale in Pitam Pura New Delhi,N/A,竄ｹ1.65 Cr,960 sqft,960 sqft,Ready to Move,Ground out of 4,New Property,Semi-Furnished,North - East,"Main Road, Garden/Park, Pool",Freehold,N/A,2,Yes
4 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,N/A,竄ｹ1.70 Cr,1450 sqft,1450 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,N/A,竄ｹ2.50 Cr,1350 sqft,1350 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,N/A,竄ｹ2 Cr,1500 sqft,1500 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,Garden/Park,Freehold,"1 Covered,",3,Yes
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ5 Cr,208 sqyrd,208 sqyrd,Ready to Move,2 out of 4,Resale,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",Freehold,N/A,3,Yes
2 BHK Apartment for Sale in Munirka New Delhi,N/A,竄ｹ1.85 Cr,1000 sqft,1000 sqft,Ready to Move,1 out of 2,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
